ID,Description,Location,Region,Duration,Start ,End,Day,Month,year,Season,Environment,Conditions,Temp,Recorder,Mics,Channels,Mic_position,SC?,Lossless?,mp3?,Image?,site?,Quality,Notes,Actual date
CKA001,Carrickalinga Beach dunes w/finch,Carrickalinga,Western Fleurieu,0:28,17:30:00,17:30:28,1,5,2015,Autumn,Coastal,,,Olympus LS-100,Built-in,Stereo pair,Tripod,y,y,y,y,y,2,,
CKA002,Carrickalinga Creek,Carrickalinga,Western Fleurieu,2:41,16:45:00,16:47:41,1,5,2015,Autumn,Riverine,,,Olympus LS-100,Built-in,Stereo pair,Tripod,y,y,y,y,y,3,,
CKA003,Goat Track Bay Cave,Carrickalinga,Western Fleurieu,2:43,11:30:00,11:32:43,1,5,2015,Autumn,Karst,,,Olympus LS-100,Built-in,Stereo pair,Tripod,y,y,y,y,y,3,,
CKA004,Carrickalinga Beach,Carrickalinga,Western Fleurieu,1:34,17:20:00,17:26:34,1,5,2015,Autumn,Coastal,,,Olympus LS-100,Built-in,Stereo pair,Tripod,y,y,y,y,y,2,,
CKA005,Gentle rain shower at shack,Carrickalinga,Western Fleurieu,4:26,22:30:00,22:34:26,1,5,2015,Autumn,Semi-urban,,,Olympus LS-100,Built-in,Stereo pair,Tripod,y,y,y,y,y,3,,
CKA006,Carrickalinga Creek estuary (substrate recording),Carrickalinga,Western Fleurieu,6:22,17:00:00,17:06:22,1,5,2015,Autumn,Riverine,,,Olympus LS-100,JrF C-series hydro,Stereo pair,Hydrophone,y,y,y,y,y,3,,
CKA007,Fence in the wind ,Carrickalinga,Western Fleurieu,4:00,17:10:00,17:14:00,1,5,2015,Autumn,Dense medium,,,Olympus LS-100,Custom (Green Whip) contact microphones,Stereo pair,Special,y,y,y,y,y,3,,
CKL001,Steam Ranger: announcement prior to departure from Goolwa Railway Station,Steam Ranger rail network,Eastern Fleurieu,0:52,11:00:00,11:00:53,1,4,2012,Autumn,Industrial,,,Edirol HR-09,Built-in,Stereo pair,Handheld,y,y,y,y,y,3,,
CKL002,Steam Ranger: passing Winery Road junction and historic Canoe Tree ,Steam Ranger rail network,Eastern Fleurieu,4:00,11:15:00,11:19:00,1,4,2012,Autumn,Industrial,,,Edirol HR-09,Built-in,Stereo pair,Handheld,y,y,y,y,y,3,,
CKL003,Steam Ranger: approaching Currency Creek viaduct.,Steam Ranger rail network,Eastern Fleurieu,1:25,11:20:00,11:21:25,1,4,2012,Autumn,Industrial,,,Edirol HR-09,Built-in,Stereo pair,Handheld,y,y,y,y,y,3,,
CKL004,Steam Ranger: Plains (on route to Strathalbyn),Steam Ranger rail network,North-Eastern Fleurieu,4:08,11:30:00,11:34:08,1,4,2012,Autumn,Industrial,,,Edirol HR-09,Built-in,Stereo pair,Handheld,y,y,y,y,y,3,,
COX001,Cox Scrub Conservation Park: Swamp,Cox Scrub CP,North-Eastern Fleurieu,3:41,17:30:00,17:34:08,1,8,2012,Winter,Dense forest & scrub,,,Edirol HR-09,Built-in,Stereo pair,Positioned,y,y,y,y,y,3,,
CPJ001,Cape Jervis Ferry Terminal,Cape Jervis,Southern Fleurieu,6:16,9:30:00,9:36:16,1,10,2019,Spring,Coastal,,,Olympus LS-100,Built-in,Stereo pair,Handheld,y,y,y,y,y,4,,
FCH001,Platypus waterhole,Flinders Chase NP,Kangaroo Island,2:31,9:30:00,9:32:31,1,10,2019,Spring,Light forest & scrub,,,Olympus LS-100,Built-in,Stereo pair (w/windjammers),Positioned,y,y,y,y,y,5,,
FCH002,Rocky River Cascades,Flinders Chase NP,Kangaroo Island,2:56,12:00:00,12:02:56,1,10,2019,Spring,Light forest & scrub,,,Olympus LS-100,Built-in,Stereo pair,Handheld,y,y,y,y,y,3,,
FCH003,Rocky river Banjo Frogs,Flinders Chase NP,Kangaroo Island,4:53,12:30:00,12:34:53,1,10,2019,Spring,Light forest & scrub,,,Olympus LS-100,Built-in,Stereo pair,Positioned,y,y,y,y,y,5,,
FCH004A,Hanson Bay tides,Hanson Bay,Kangaroo Island,12:34,16:00:00,16:12:34,1,10,2019,Spring,Coastal,,,SD MixPre-3,LA CM3,Stereo pair,Tripod,y,y,y,y,y,4,,
FCH004B,Hanson Bay tides,Hanson Bay,Kangaroo Island,16:57,16:30:00,16:46:57,1,10,2019,Spring,Coastal,,,SD MixPre-3,LACM,Stereo pair,Tripod,y,y,y,y,y,4,,
GRA001,Granite Island Causeway,Granite Island,Eastern Fleurieu,3:19,7:00:00,7:20:00,1,7,2012,Winter,Coastal,,,Edirol HR-09,Built-in,Stereo pair,Handheld,y,y,y,y,y,4,Time compressed,
GRA002,Seal Rocks,Granite Island,Eastern Fleurieu,2:32,6:05:00,6:15:00,1,7,2012,Winter,Coastal,,,Edirol HR-09,Built-in,Stereo pair,Handheld,y,y,y,y,y,3,Time compressed,
